botid; date; time; press; nit; chl; l12; d12
#; mmddyy; hhmmss; dbar; umol/kg; ug/l; mg C/m3; mg C/m3
120200613;112889;203245;5.8;0.01;0.1;-9;-9
120200612;112889;203153;25.3;0.04;0.13;-9;-9
120200611;112889;203109;45.6;0.01;0.13;-9;-9
120200610;112889;203027;61.6;0.01;0.18;-9;-9
120200609;112889;202949;76.5;0.01;0.25;-9;-9
120200608;112889;202912;86.6;0.01;0.3;-9;-9
120200607;112889;202834;96.3;0.06;0.3;-9;-9
120200606;112889;202758;106.7;0.24;0.23;-9;-9
120200605;112889;202715;119.6;0.53;0.11;-9;-9
120200604;112889;202629;130.6;0.67;0.07;-9;-9
120200603;112889;202534;155.4;1.58;0.03;-9;-9
120200602;112889;202436;181.5;2.66;0.01;-9;-9
120200601;112889;202302;201.3;3.2;0;-9;-9
120200714;112989;2416;231.2;4.34;-9;-9;-9
120200713;112989;2307;256.3;6.48;-9;-9;-9
120200712;112989;2204;281.2;8.16;-9;-9;-9
120210008;112889;-9;2;-9;0.11;2.09;0.18
120210007;112889;-9;10;-9;0.11;2.49;0.18
120210006;112889;-9;20;-9;0.11;5.68;0.19
120210005;112889;-9;45;-9;0.12;2.715;0.18
120210004;112889;-9;65;-9;0.22;3.835;0.16
120210003;112889;-9;95;-9;0.28;2.11;0.08
120210002;112889;-9;110;-9;0.21;0.605;0.09
120210001;112889;-9;140;-9;0.05;0.11;0.08
130200222;10490;205157;25.6;0.02;-9;-9;-9
130200221;10490;205033;51.3;0;-9;-9;-9
130200220;10490;204859;77.2;0.02;-9;-9;-9
130200219;10490;204717;77.2;0;-9;-9;-9
130200218;10490;204549;105.1;0;-9;-9;-9
130200217;10490;204357;131.6;0.31;-9;-9;-9
130200216;10490;204212;182.6;0.99;-9;-9;-9
130200215;10490;204009;182.6;0.98;-9;-9;-9
130200214;10490;203808;216.9;1.91;-9;-9;-9
130200414;10590;50844;14.3;-9;0.13;-9;-9
130200412;10590;50628;34;-9;0.13;-9;-9
130200411;10590;50532;45.8;0.02;0.12;-9;-9
130200410;10590;50424;60;0;0.17;-9;-9
130200409;10590;50321;75.5;0.02;0.28;-9;-9
130200408;10590;50156;85.6;0.02;0.48;-9;-9
130200407;10590;50059;95.1;0.11;0.28;-9;-9
130200406;10590;45956;105.9;0.12;0.26;-9;-9
130200405;10590;45822;117.3;0.23;0.2;-9;-9
