"DOY" "Depth" "TIN"
294 74.3 25.71
294 99.5 27.31
294 124.3 33.2
294 150 39.51
294 199.2 43.81
294 249 44.61
63 0 23.23
63 30.3 23.23
63 50.9 23.23
63 75.5 23.23
63 99.9 23.72
63 125.2 38.4
63 150 41.7
63 199.6 44
63 249 44.6
267 0 12.76
267 5.8 12.86
267 10.2 12.75
267 15.7 12.74
267 25.6 12.68
267 30.7 12.7
267 40.4 13.51
267 49.9 18.12
267 0 13.43
267 10.6 13.41
267 28.5 13.42
267 50.1 19.58
267 75.2 27.76
267 101.4 28.41
267 124.5 29.51
267 150 34.21
267 201.5 41.31
267 249.9 42.51
287 10.5 12.94
287 50.2 24
287 99.1 31.43
287 150 42.4
287 197.4 44.72
287 247.6 45.11
15 1.25 23.9290518760681
15 5 25.4796071052551
15 10 24.9225134849548
15 15 24.296483039856
15 20 24.6660380363464
15 25 25.1705298423767
15 30 25.9190793037415
15 35 26.6861963272095
15 40 27.08673620224
15 45 27.0520296096802
15 50 26.8175950050354
15 55 26.7815589904785
15 60 26.5159635543823
15 65 26.379120349884
15 70 26.7045440673828
15 75 26.6558103561401
15 80 27.6543850898743
15 85 27.2870392799377
15 90 26.3094415664673
15 95 27.0801653862
15 105 28.2034034729004
15 125 28.6185536384583
15 150 34.0364837646484
15 175 35.2555046081543
15 200 35.8410205841064
15 225 36.2959718704224
15 250 38.2218332290649
45 1.25 23.9354887008667
45 5 25.3553996086121
45 10 24.8154759407043
45 15 24.2239227294922
45 20 24.6001176834106
45 25 25.1144132614136
45 30 25.8300905227661
45 35 26.5853977203369
45 40 26.9838662147522
45 45 26.9953098297119
45 50 26.7256164550781
45 55 26.7279171943665
45 60 26.5030508041382
45 65 26.3426713943481
45 70 26.5158891677856
45 75 26.4480218887329
45 80 27.3348779678345
45 85 27.2168478965759
45 90 26.372079372406
45 95 27.1422452926636
45 105 28.3192319869995
45 125 28.310112953186
45 150 33.066014289856
45 175 34.1686868667603
45 200 34.5173921585083
45 225 36.1465110778809
45 250 38.1089859008789
75 1.25 23.3659715652466
75 5 24.7903075218201
75 10 24.5091500282288
75 15 23.7090973854065
75 20 23.8798890113831
75 25 24.3172917366028
75 30 24.1510610580444
75 35 25.1435513496399
75 40 25.8425931930542
75 45 29.6769509315491
75 50 24.8816795349121
75 55 24.8786787986755
75 60 24.7452139854431
75 65 24.6848082542419
75 70 25.1980104446411
75 75 25.2589492797852
75 80 26.9659080505371
75 85 26.5658240318298
75 90 25.0113925933838
75 95 26.2738862037659
75 105 27.932382106781
75 125 26.8480997085571
75 150 35.0422239303589
75 175 35.4905090332031
75 200 34.0636777877808
75 225 36.0345659255981
75 250 38.3656911849976
105 1.25 24.0114207267761
105 5 24.296160697937
105 10 24.1865916252136
105 15 23.9514951705933
105 20 23.4388523101807
105 25 23.3180031776428
105 30 23.2251262664795
105 35 23.3075070381165
105 40 23.5058946609497
105 45 23.5496306419373
105 50 23.5638642311096
105 55 23.2886319160461
105 60 23.0624117851257
105 65 22.8596158027649
105 70 22.619589805603
105 75 22.6788368225098
105 80 22.736439704895
105 85 22.8242325782776
105 90 22.9141998291016
105 95 23.0886025428772
105 105 23.6275811195374
105 125 26.2651205062866
105 150 33.3395471572876
105 175 33.8127517700195
105 200 36.2067337036133
105 225 37.9899711608887
105 250 40.5663452148438
135 1.25 23.4535899162292
135 5 23.871319770813
135 10 23.4401941299438
135 15 23.3588728904724
135 20 23.4309096336365
135 25 23.3006343841553
135 30 23.2516303062439
135 35 23.687548160553
135 40 24.0259160995483
135 45 24.2323174476624
135 50 24.4794478416443
135 55 24.192319393158
135 60 24.3271484375
135 65 24.4713387489319
135 70 24.6062107086182
135 75 24.7680101394653
135 80 24.9491963386536
135 85 25.1253671646118
135 90 25.3376512527466
135 95 25.6232213973999
135 105 26.2037668228149
135 125 30.4828782081604
135 150 38.3146772384644
135 175 36.2594013214111
135 200 37.7089910507202
135 225 35.3920555114746
135 250 42.8970642089844
165 1.25 16.187492609024
165 5 18.0153965950012
165 10 12.8355669975281
165 15 13.8265392780304
165 20 14.841527223587
165 25 15.752513885498
165 30 16.6088123321533
165 35 17.518168926239
165 40 18.3749871253967
165 45 19.2673358917236
165 50 20.0847387313843
165 55 20.8385667800903
165 60 21.4946870803833
165 65 22.1766786575317
165 70 22.8075304031372
165 75 23.4416694641113
165 80 23.8816556930542
165 85 24.2898592948914
165 90 24.6517009735107
165 95 25.0997619628906
165 105 25.567834854126
165 125 28.0587067604065
165 150 31.6759476661682
165 175 34.1312456130981
165 200 36.6196937561035
165 225 36.5282135009766
165 250 39.7514429092407
195 1.25 17.1847376823425
195 5 17.3711071014404
195 10 17.4112725257874
195 15 17.4597692489624
195 20 17.6716704368591
195 25 18.1088428497314
195 30 18.5955481529236
195 35 19.3101391792297
195 40 19.9868235588074
195 45 20.805070400238
195 50 21.1861572265625
195 55 21.4926247596741
195 60 21.9240055084229
195 65 22.57452917099
195 70 23.1204228401184
195 75 23.6328821182251
195 80 24.1268606185913
195 85 24.6668348312378
195 90 25.1535549163818
195 95 25.6324791908264
195 105 26.1599469184875
195 125 31.167516708374
195 150 34.5511360168457
195 175 40.3127470016479
195 200 40.7201948165894
195 225 42.7299165725708
195 250 42.9874172210693
225 1.25 10.7881608009338
225 5 11.4768006801605
225 10 11.8425879478455
225 15 12.2054378986359
225 20 12.6698508262634
225 25 13.7386248111725
225 30 15.5668849945068
225 35 17.2887468338013
225 40 18.5194144248962
225 45 19.64386510849
225 50 20.6814546585083
225 55 21.5727477073669
225 60 22.3212704658508
225 65 23.0682091712952
225 70 23.58624792099
225 75 24.1005349159241
225 80 24.5212826728821
225 85 24.8283271789551
225 90 25.2285451889038
225 95 25.539785861969
225 105 26.153510093689
225 125 31.5765824317932
225 150 36.1856679916382
225 175 39.9091892242432
225 200 40.6630744934082
225 225 42.2638912200928
225 250 43.21764087677
255 1.25 7.77176010608673
255 5 9.53534865379333
255 10 10.7470381259918
255 15 11.1908428668976
255 20 11.5992965698242
255 25 10.9145548343658
255 30 9.93820548057556
255 35 11.0730435848236
255 40 13.7364330291748
255 45 15.5356912612915
255 50 17.1000027656555
255 55 16.8135786056519
255 60 17.4501094818115
255 65 23.9370093345642
255 70 23.275098323822
255 75 23.6410012245178
255 80 24.8080787658691
255 85 24.91224193573
255 90 25.4166126251221
255 95 24.8886885643005
255 105 25.5665588378906
255 125 26.6042709350586
255 150 28.6369767189026
255 175 32.2077703475952
255 200 30.3527264595032
255 225 37.5438966751099
255 250 34.9509000778198
285 1.25 15.631514787674
285 5 13.642529964447
285 10 11.9345397949219
285 15 12.8744826316833
285 20 13.9373321533203
285 25 14.7864742279053
285 30 15.5563061237335
285 35 16.1545770168304
285 40 16.8972611427307
285 45 17.6857013702393
285 50 18.5438408851624
285 55 19.4746227264404
285 60 20.3033986091614
285 65 20.9492001533508
285 70 21.4832801818848
285 75 22.0507702827454
285 80 22.668713092804
285 85 23.29310131073
285 90 23.8989458084106
285 95 24.5715870857239
285 105 24.0389080047607
285 125 28.2381262779236
285 150 34.9263534545898
285 175 39.1923246383667
285 200 41.5356950759888
285 225 42.2872543334961
285 250 42.8947992324829
315 1.25 17.8245234489441
315 5 15.475367307663
315 10 15.0303530693054
315 15 16.1017823219299
315 20 16.4160323143005
315 25 16.9201793670654
315 30 18.2849135398865
315 35 19.1485023498535
315 40 19.7086367607117
315 45 19.8362731933594
315 50 19.2648801803589
315 55 19.1013283729553
315 60 19.0826797485352
315 65 19.287672996521
315 70 19.7711358070374
315 75 20.2749419212341
315 80 20.6848640441895
315 85 22.0881237983704
315 90 23.252459526062
315 95 24.5254211425781
315 105 25.64200258255
315 125 35.055793762207
315 150 37.8465213775635
315 175 39.5446434020996
315 200 41.708592414856
315 225 43.3334808349609
315 250 41.3921146392822
345 1.25 18.0604252815247
345 5 17.4169406890869
345 10 16.3311991691589
345 15 17.2041182518005
345 20 18.1444616317749
345 25 18.8087296485901
345 30 19.1215553283691
345 35 19.7122645378113
345 40 19.8558120727539
345 45 20.361752986908
345 50 20.2487072944641
345 55 17.0924339294434
345 60 16.7855439186096
345 65 15.9611871242523
345 70 21.3834757804871
345 75 21.1764121055603
345 80 22.5173373222351
345 85 22.3316206932068
345 90 23.5461263656616
345 95 24.9203567504883
345 105 27.078040599823
345 125 30.1825304031372
345 150 28.957911491394
345 175 36.8272972106934
345 200 37.0477828979492
345 225 40.3170433044434
345 250 42.299464225769
