"DOY" "Depth" "NPP"
335 74.4 4.265
335 99.1 0.923
335 123.9 0.23
355 5 4.15
355 24.3 3.473
355 43.1 2.303
355 73.7 1.38
355 100.4 0.82
355 122.2 0.347
17 3.7 5.983
17 23.4 6.407
17 44 4.427
17 73.5 4.57
17 99.5 1.813
17 123.4 0.37
81 3.9 3.887
81 23.8 3.293
81 44 4.717
81 75.4 3.165
81 98.9 0.9
81 123.7 0.497
108 3.9 7.16
108 23.6 7.45
108 43.3 6.693
108 73.8 4.783
108 98.7 3.223
108 123.4 1.7
137 4.8 8.073
137 24.7 7.687
137 44.8 5.56
137 74.5 2.37
137 98.8 1.99
137 124.1 1.19
165 3.9 6.12
165 23.5 6.083
165 44.1 5.757
165 73.4 4.573
165 99.4 2.453
165 122.7 1.637
192 4.3 6.883
192 23.7 8.987
192 44.7 5.17
192 73.9 5.5
192 100.2 2.29
192 123.7 0.75
220 4.7 6.123
220 24.9 6.107
220 44.8 5.45
220 75.6 3.383
220 99.1 2.39
220 124.9 0.39
275 4.9 8.48
275 25.8 9.517
275 45.1 6.15
275 74.1 3.823
275 100.9 1.877
275 124.5 0.557
296 4.8 8.097
296 24.7 9.01
296 45.3 7.26
296 75.1 2.93
296 100.4 0.66
296 124.7 0.193
321 4.1 8.347
321 24.4 6.497
321 44.1 4.63
321 74.5 2.81
321 99.4 0.76
321 124.3 0.19
16 4.4 5.82
16 23.6 4.487
16 44.5 4.4
16 74.1 1.087
16 98.8 1.19
16 124.4 0.437
52 4 7.43
52 24.3 6.613
52 44.7 5.137
52 74 4.053
52 100.7 3.11
52 125.6 0.5
72 4.1 8.06
72 24.2 7.743
72 44 9.043
72 74.5 4.843
72 98.1 3.957
72 123.7 1.59
141 4.1 8.18
141 24 7.727
141 43.5 7.287
141 73.6 5.05
141 99 2.67
141 124.1 2.607
240 4.3 8.75
240 25.1 9.253
240 45 7.66
240 75.7 5.433
240 100.7 1.62
240 123.9 0.68
280 4.8 8.41
280 25 7.367
280 44.4 6.28
280 75.4 4.233
280 100.1 1.99
280 126 0.633
308 4.7 7.727
308 25 7.727
308 45.2 6.663
308 75.4 3.823
308 99.5 1.82
308 126.2 1.32
329 4.9 6.81
329 25.3 5.12
329 44.5 4.427
329 74.9 2.39
329 100.7 2.073
329 126.4 0.903
353 3.5 6.39
353 25 3.85
353 45.5 4.06
353 75.7 2.2
353 99.1 1.853
353 125.3 0.76
17 4.1 10.067
17 24.4 7.987
17 45 8.313
17 74.4 4.13
17 99.7 1.533
17 124.8 1.277
57 4.2 6.837
57 24 6.275
57 45.5 5.533
57 74.2 3.147
57 99.2 1.303
57 126.6 1.197
88 9.6 7.837
88 24.6 7.3
88 45.2 6.237
88 74.1 4.183
88 101.5 2.54
88 125.5 1.37
114 4.3 6.533
114 23.8 6.68
114 44.5 5.793
114 74.5 3.493
114 99.2 3.167
114 124.6 1.42
141 24.4 5.13
141 44.6 4.417
141 74.4 3.117
141 100.3 0.973
141 123.9 0.283
171 4.7 6.463
171 23.4 6.403
171 44.6 6.366
171 74.4 4.485
171 99.2 3.077
171 124.3 1.34
201 4.9 7.587
201 24.2 7.253
201 45.5 5.357
201 75.1 4.16
201 99.9 2.853
201 125.2 1.057
233 5.5 7.517
233 25.5 8.163
233 44.2 7.217
233 74 3.987
233 100.7 2.697
233 128.1 0.69
288 4.5 5.43
288 26.9 5.77
288 45 4.053
288 74.6 3.103
288 100.5 1.387
288 123.7 0.573
314 10.1 8.527
314 25 7.69
314 45.4 4.62
314 75.9 2.253
314 103.4 0.99
314 127.8 0.445
354 9.8 5.85
354 25.1 5.683
