"DOY" "Depth" "CHL"
211 125 0.12
211 150 0.04
211 175 0.07
240 4.7 0.05
240 14.3 0.06
240 25 0.05
240 44.3 0.08
240 60.3 0.11
240 74.4 0.15
240 84.3 0.15
240 94.7 0.15
240 105.2 0.17
240 114.8 0.19
240 124.8 0.15
240 135.4 0.13
240 149.6 0.05
240 160 0.03
240 173.3 0.01
241 4.7 0.06
241 24.8 0.06
241 44.1 0.07
241 74.4 0.14
241 99.3 0.22
241 119.2 0.16
241 150.2 0.02
241 175.7 0.01
241 5 0.07
241 25 0.06
241 45 0.07
241 100 0.22
241 125 0.11
241 150 0.02
270 4.4 0.06
270 27.4 0.08
270 42.5 0.12
270 49 0.13
270 70.2 0.19
270 87.6 0.21
270 110.5 0.12
270 4.8 0.06
270 14.7 0.08
270 24.5 0.06
270 44.3 0.09
270 73.9 0.14
270 99.5 0.21
270 124.8 0.19
270 173.6 0.04
270 5 0.05
270 14.1 0.06
270 24.8 0.06
270 35 0.05
270 45.5 0.07
270 60.4 0.09
270 74.5 0.12
270 85 0.14
270 93.9 0.19
270 104.1 0.19
270 114.4 0.22
270 124 0.18
270 134.1 0.15
270 149.1 0.1
270 160.5 0.05
270 174.4 0.04
270 200.5 0.03
270 5.2 0.06
270 14.9 0.05
270 24.5 0.06
270 44.9 0.09
270 74.7 0.18
270 100.2 0.2
270 125.6 0.06
270 150.1 0.03
270 2.5 0.06
270 9.9 0.06
270 19.7 0.06
270 29.7 0.07
270 38.8 0.07
270 48.8 0.11
270 59.7 0.13
270 69.5 0.16
270 80.1 0.19
270 89.4 0.2
270 123.8 0.05
270 149.8 0.02
270 4.3 0.06
270 13.8 0.08
270 24.3 0.06
270 44.8 0.07
270 75.8 0.05
270 105 0.2
270 125.6 0.17
270 150.7 0.03
270 4.4 0.08
270 25.2 0.13
270 44.3 0.08
270 75.2 0.08
270 99.2 0.18
270 124.4 0.23
270 149.2 0.13
270 175.8 0.02
270 4.2 0.08
270 24.8 0.07
270 45.2 0.09
270 74 0.17
270 100 0.22
270 124.6 0.13
270 149.4 0.02
270 174.5 0.01
271 4.2 0.07
271 14.6 0.07
271 24.7 0.08
271 44.3 0.13
271 75 0.22
271 104.5 0.13
271 124.1 0.05
271 149.4 0.02
271 5.2 0.06
271 24.3 0.07
271 43.3 0.08
