"DOY" "Depth" "TIN"
161 202.8 6.36
186 11.5 0.01
186 87.4 0.01
186 163.8 1.53
186 231.1 1.83
187 228.4 3.13
187 78.1 0.01
187 87.2 0.01
187 108.5 0.01
187 118.1 0.01
187 129.3 0.02
187 139 0.38
187 153.9 0.61
187 178.1 1.23
187 200.2 1.93
219 103.2 0.06
219 107 0.16
219 152.9 2.27
219 225 5.95
219 118.5 0.14
219 128.8 0.32
219 138.1 0.9
219 153.5 1.77
219 178.8 2.67
219 204.5 3.84
219 231.4 5.82
219 9.9 0.01
219 31.1 0.01
219 31 0.02
219 40.3 0.01
20 8.9 0.01
20 53.9 0.01
20 101.7 0.01
20 105.5 0.01
20 146.7 0.6
20 229.1 2.82
20 135.1 0.26
20 149.7 0.97
20 160.5 1.21
20 198.1 1.84
20 209.9 3.42
20 226.2 4.45
20 233.5 4.71
20 249.3 5.08
20 24.7 0.01
20 130.4 0.04
47 15.7 0.01
47 25.8 0.01
47 95.4 0.75
47 100.4 0.86
47 110.5 1.44
47 144.5 2.17
47 225.4 4.94
48 224.3 6.43
48 234.5 6.8
48 249.5 7.9
48 45.4 0.01
48 58.7 0.07
48 74.3 0.18
48 84.6 0.27
48 94.6 0.43
48 104.7 0.86
48 114.5 1.35
48 124.5 1.9
48 137 2.17
48 151.5 2.72
48 175.4 3.92
48 203.8 4.82
103 11.2 0.01
103 191.9 1.49
104 158 1.37
104 175.1 1.63
104 181.4 1.82
104 197.8 2.16
104 218.9 3.56
104 15 0.01
104 26 0.02
104 34.9 0.01
104 44.4 0.01
104 60.2 0.01
104 75.5 0.01
104 85.4 0.01
104 104.9 0.01
104 115 0.07
104 125 0.14
104 134.9 0.41
104 150.4 0.46
104 176.2 0.74
104 196.2 1.5
104 208.9 2.15
104 223.4 2.85
104 148.1 0.2
104 179 0.67
104 224.9 2.52
104 234.8 3.26
104 248.6 4.05
140 78.9 0.01
140 177.9 0.82
140 98.8 0.01
140 162.2 0.56
140 185.2 0.86
140 210.2 1.76
140 236.5 2.99
140 226.5 3.46
140 235.6 3.91
141 6.5 0.01
141 14.8 0.01
141 24.5 0.01
141 34.9 0.01
141 45 0.01
141 85 0.01
141 95.3 0.01
141 106.3 0.01
141 116.4 0.02
141 124.5 0.02
141 134.8 0.09
141 150.1 0.6
141 176.4 0.93
141 203.8 2.21
141 246.8 4.1
257 210.5 2.82
257 226.5 4.75
257 235.6 5.72
257 25.6 0.01
257 36.7 0.01
257 46.6 0.01
257 61.4 0.01
257 76.2 0.01
257 86.5 0.01
257 96.4 0.01
257 105.9 0.01
257 116.2 0.02
257 125.6 0.03
257 136.3 0.26
257 154.2 1.38
257 177.7 2.65
257 200.9 3.28
301 117.3 0.14
301 171.2 4.59
301 226.7 7.2
302 221.2 6.07
302 238.3 8.22
302 7.1 0.01
302 17.2 0.01
302 27.1 0.01
302 37.3 0.01
302 48.4 0.01
302 58.5 0.01
302 78.9 0.01
302 93.4 0.03
302 105.2 0.03
302 117.8 0.04
302 125 0.11
302 138.4 0.89
302 148.9 1.99
302 176.8 3.03
302 197.4 3.95
19 106.5 0.07
20 87.3 0.05
20 93.8 0.11
20 98.4 0.16
20 128.1 0.8
20 160.7 1.19
20 199.3 2.26
20 223.8 4.1
20 226.1 3.42
20 234.2 3.97
20 36.7 0.01
20 62.9 0.01
20 85.8 0.01
20 96.1 0.01
20 106.4 0.03
20 114.6 0.05
20 125.7 0.31
20 136.4 0.55
20 153.1 0.88
20 168.8 1.04
20 204.6 1.71
22 5.4 0.02
22 100.6 0.21
48 148.5 0.39
48 176 2.06
48 194.7 2.81
48 226 3.89
48 174.9 1.58
48 199 2.65
48 226.2 3.2
48 236.1 3.72
48 15 0.01
48 44.9 0.01
48 61.4 0.01
48 77.8 0.02
48 85.6 0.02
48 95.4 0.02
48 106.1 0.03
48 114.4 0.03
48 125.5 0.05
48 135.2 0.04
48 150.4 0.06
67 159 0.38
67 115.7 0.12
