"DOY" "Depth" "TIN"
165 5 0.0338490838184953
165 10 0.0756756775081158
165 15 0.0714405495673418
165 20 0.0666854903101921
165 25 0.0716314241290092
165 30 0.0647642724215984
165 35 0.0592522751539946
165 40 0.0440350258722901
165 45 0.0427622203715146
165 50 0.0538065396249294
165 55 0.14896584302187
165 60 0.259393010288477
165 65 0.376219563186169
165 70 0.477460622787476
165 75 0.612197831273079
165 80 0.732234716415405
165 85 0.919373661279678
165 90 1.16798320412636
165 95 1.3052536547184
165 105 1.52126404643059
165 125 2.47590231895447
165 150 3.26760596036911
165 175 3.7419461607933
165 200 4.24568617343903
165 225 4.98572373390198
165 250 5.2761298418045
195 1.25 0.0171088017523289
195 5 0.0138975498266518
195 10 0.00929303176235408
195 15 0.00762388834846206
195 20 0.00905628806503955
195 25 0.0105313849635422
195 30 0.0352618687320501
195 35 0.0150716515490785
195 40 0.0159730081213638
195 45 0.0187174652237445
195 50 0.153164464049041
195 55 0.129263358190656
195 60 0.145540006458759
195 65 0.155661618337035
195 70 0.171879466623068
195 75 0.185548977926373
195 80 0.315852085128427
195 85 0.485450273379683
195 90 0.704553917050362
195 95 0.904780007898808
195 105 1.55635049939156
195 125 2.52818405628204
195 150 2.48020988702774
195 175 3.33236086368561
195 200 3.3346654176712
195 225 4.21256446838379
195 250 5.1656619310379
225 1.25 0.254442293196917
225 5 0.201386675238609
225 10 0.198583971709013
225 15 0.19367815554142
225 20 0.196768168359995
225 25 0.189902782440186
225 30 0.173326015472412
225 35 0.18971836566925
225 40 0.193578463047743
225 45 0.202494110912085
225 50 0.208412852138281
225 55 0.233798258006573
225 60 0.261822383850813
225 65 0.30503398552537
225 70 0.357578910887241
225 75 0.863907650113106
225 80 1.10214975476265
225 85 1.34710219502449
225 90 1.5229649245739
225 95 1.73973128199577
225 105 1.41777592897415
225 125 2.26918148994446
225 150 3.06855076551437
225 175 3.19779336452484
225 200 3.39716243743896
225 225 3.90453106164932
225 250 4.1558119058609
255 1.25 0.0769606027752161
255 5 0.0720836110413074
255 10 0.126909259706736
255 15 0.0928300321102142
255 20 0.0566566893830895
255 25 0.0535896383225918
255 30 0.0307786343619227
255 35 0.00224734169023577
255 40 0.00135505944490433
255 45 1.85688259080052e-05
255 50 0.00602345034712926
255 55 0.0237394445575774
255 60 0.0322228376753628
255 65 0.0550849791616201
255 70 0.0665158610790968
255 75 0.0351540995761752
255 80 0.0433207554742694
255 85 0.0349569208920002
255 90 0.0333141130395234
255 95 0.0211743889376521
255 105 0.0215872181579471
255 125 0.127670364454389
255 150 0.0784093430265784
255 175 0.27277622371912
255 200 0.864733844995499
255 225 2.89694458246231
255 250 0.844029515981674
285 1.25 0.174022164195776
285 5 0.202163215726614
